batch,asset_id,relative_path,expected_rating,candidate_rating,rating_delta,expected_action,whole_asset_or_clip,human_rating_reason,model_error_type,best_clip_in,best_clip_out,annotation_updated_at
calibration-30,asset_4fcc6d22fe1d,Action6/DJI_20260613111904_0083_D.MP4,2,1,-1,discard,clip_only,,none,,,2026-07-23T03:30:44.887Z
calibration-30,asset_5632cd93ba0d,Action6/DJI_20260612134026_0001_D.MP4,1,1,0,discard,clip_only,,,,,
calibration-30,asset_1d7faf8ae47d,Robert-iPhone/IMG_4293.MOV,3,3,0,fallback,clip_only,,,,,
calibration-30,asset_399e110ef06d,Robert-iPhone/IMG_4328.MOV,4,3,-1,likely_use,clip_only,,none,,,2026-07-23T03:30:50.781Z
calibration-30,asset_19c90ef73031,jixin-Nano/dji_mimo_20260612_161722_20260612161723_1781257158009_video.MP4,3,3,0,review,clip_only,,,,,
calibration-30,asset_de4c87c97932,Action6/DJI_20260613144503_0109_D.MP4,1,3,2,discard,clip_only,视频意义不明，,invented_evidence,,,2026-07-22T13:51:39.778Z
calibration-30,asset_9aecc49cacb4,Robert-iPhone/IMG_4343.MOV,1,2,1,discard,clip_only,,none,,,2026-07-23T03:28:05.140Z
calibration-30,asset_73db1344d9d0,Robert-iPhone/IMG_4281.MOV,4,2,-2,likely_use,whole_asset,前2个人的雨衣没有问题，第三个人的雨衣后脑勺破了一个洞，画面充满趣味性,underrated_highlight,,,2026-07-22T13:50:33.524Z
calibration-30,asset_50fc29c93238,Robert-iPhone/IMG_4291.MOV,2,2,0,discard,clip_only,,,,,
calibration-30,asset_f47b58e38c53,Action6/DJI_20260613102503_0054_D.MP4,4,3,-1,likely_use,clip_only,,none,,,2026-07-23T03:31:03.321Z
calibration-30,asset_36065cea16d5,Action6/DJI_20260613143925_0104_D.MP4,4,4,0,likely_use,clip_only,,,,,
calibration-30,asset_588339a6dd99,Robert-iPhone/IMG_4289.MOV,5,4,-1,highlight,whole_asset,,none,,,2026-07-23T03:31:10.356Z
calibration-30,asset_6ad9a06742ae,Robert-iPhone/IMG_4307.MOV,3,4,1,review,clip_only,,,,,
calibration-30,asset_f9b03c8bf769,jixin-Nano/dji_mimo_20260613_102348_20260613102348_1781320061900_video.MP4,3,4,1,review,clip_only,画面里确实有几辆越野车，但是在画面里太小了,overrated_ordinary,,,2026-07-23T03:29:17.173Z
calibration-30,asset_1c5fed861a8e,Action6/DJI_20260613145058_0115_D.MP4,5,4,-1,highlight,whole_asset,视频中有个漂亮且少见的旋转运镜,underrated_highlight,,,2026-07-23T03:31:47.983Z
calibration-30,asset_377fc3f9400a,Robert-iPhone/IMG_4347.MOV,4,4,0,likely_use,whole_asset,,,,,
calibration-30,asset_35c7b26bc726,Robert-iPhone/IMG_4278.MOV,4,5,1,likely_use,clip_only,最后两人摆出肌肉的样子，很有趣味性,underrated_highlight,,,2026-07-23T03:30:06.289Z
calibration-30,asset_3c58cc80f7b5,QiWei-Action/dji_mimo_20230108_014246_20230107174246_1783443331727_video(1).mp4,4,4,0,likely_use,clip_only,,,,,
calibration-30,asset_49ba9c5ba398,Robert-iPhone/IMG_4283.MOV,2,4,2,fallback,clip_only,,none,,,2026-07-22T13:51:24.601Z
calibration-30,asset_19c9d3250a4a,Baymax-Phone/448c94fb03a77fe3591be85d5d9bcb6d_raw.mp4,5,4,-1,highlight,whole_asset,,none,,,2026-07-23T03:31:55.324Z
calibration-30,asset_db7ca8e21e85,Robert-iPhone/copy_8D60C065-B0E7-4821-964F-D77B058248C6.mov,5,4,-1,highlight,clip_only,,none,,,2026-07-23T03:32:02.217Z
calibration-30,asset_7d780ff509fe,Robert-iPhone/IMG_4288.MOV,4,4,0,likely_use,clip_only,,,,,
calibration-30,asset_0536b39c93fa,Action6/DJI_20260613112538_0090_D.MP4,4,4,0,likely_use,clip_only,,,,,
calibration-30,asset_8e9bddf980e5,jixin-Nano/dji_mimo_20260613_103226_20260613103227_1781320043386_video.MP4,1,3,2,discard,clip_only,构图太差，看上主体是山林景色，但非常边缘的位置又有越野车，主体不明,overrated_ordinary,,,2026-07-22T13:47:43.607Z
calibration-30,asset_b9d7cb9dd0a1,Robert-iPhone/IMG_4338.MOV,3,4,1,review,whole_asset,,,,,
calibration-30,asset_2dc71a50d977,Robert-iPhone/IMG_4345.MOV,2,4,2,fallback,whole_asset,,none,,,2026-07-22T13:51:16.185Z
calibration-30,asset_c054fc048448,Robert-iPhone/IMG_4301.MOV,5,5,0,highlight,clip_only,,,,,
calibration-30,asset_3dbefc668b8b,jixin-Nano/dji_mimo_20260612_153416_20260612153417_1781257191686_video.MP4,5,5,0,highlight,whole_asset,,,,,
calibration-30,asset_7a799c8168cd,Robert-iPhone/IMG_4292.MOV,5,4,-1,likely_use,whole_asset,,,,,
calibration-30,asset_164c5788ff39,Robert-iPhone/IMG_4308.MOV,3,4,1,review,clip_only,,,,,
validation-15,asset_96340366d4ce,Action6/DJI_20260613111512_0076_D.MP4,4,4,0,likely_use,clip_only,,,,,
validation-15,asset_0b644710c4ca,Action6/DJI_20260612161515_0038_D.MP4,3,4,1,review,clip_only,,,,,
validation-15,asset_3056452450fb,Robert-iPhone/IMG_4333.MOV,4,3,-1,likely_use,clip_only,,,,,
validation-15,asset_6db010837f51,Robert-iPhone/IMG_4346.MOV,4,3,-1,likely_use,clip_only,,,,,
validation-15,asset_030e3aca65aa,Action6/DJI_20260613111723_0079_D.MP4,2,3,1,fallback,clip_only,,,,,
validation-15,asset_88844cf7f24f,Robert-iPhone/IMG_4282.MOV,1,3,2,discard,clip_only,,none,,,2026-07-22T13:51:11.774Z
validation-15,asset_158895b72f22,Action6/DJI_20260613142807_0099_D.MP4,3,3,0,fallback,clip_only,,,,,
validation-15,asset_08c943eb9686,Baymax-Phone/aeba74158f1c4d091f0b02cda1f2ea0a_raw.mp4,1,4,3,discard,clip_only,视频是竖版视频，在缺少这个要求的上下文时评分差距大也算符合预期吧,ignored_technical,,,2026-07-22T13:46:33.554Z
validation-15,asset_953859dca426,Action6/DJI_20260613111546_0077_D.MP4,2,4,2,fallback,clip_only,整个视频处于倾斜的状态，非常不自然,ignored_technical,,,2026-07-22T13:51:08.278Z
validation-15,asset_9c300cf78fc5,Action6/DJI_20260612161430_0037_D.MP4,4,4,0,likely_use,clip_only,,,,,
validation-15,asset_45ba04150e7e,Robert-iPhone/IMG_4330.MOV,3,4,1,likely_use,whole_asset,,,,,
validation-15,asset_a638791ae696,jixin-Nano/dji_mimo_20260612_162052_20260612162052_1781257151129_video.MP4,5,4,-1,highlight,whole_asset,,none,,,2026-07-23T03:32:39.660Z
validation-15,asset_5b691e6d1dbf,Robert-iPhone/IMG_4344.MOV,2,4,2,fallback,clip_only,,none,,,2026-07-22T13:49:41.429Z
validation-15,asset_9196effa5897,Action6/DJI_20260612155517_0029_D.MP4,5,5,0,highlight,clip_only,,,,,
validation-15,asset_3df6a158ee7d,jixin-Nano/dji_mimo_20260613_103420_20260613103421_1781320040416_video.MP4,5,5,0,highlight,whole_asset,,,,,
