asset_id,relative_path,expected_rating,expected_action,whole_asset_or_clip,notes
"asset_96340366d4ce","Action6/DJI_20260613111512_0076_D.MP4","4","likely_use","clip_only",""
"asset_0b644710c4ca","Action6/DJI_20260612161515_0038_D.MP4","3","review","clip_only",""
"asset_3056452450fb","Robert-iPhone/IMG_4333.MOV","4","likely_use","clip_only",""
"asset_6db010837f51","Robert-iPhone/IMG_4346.MOV","4","likely_use","clip_only",""
"asset_030e3aca65aa","Action6/DJI_20260613111723_0079_D.MP4","2","fallback","clip_only",""
"asset_88844cf7f24f","Robert-iPhone/IMG_4282.MOV","1","discard","clip_only",""
"asset_158895b72f22","Action6/DJI_20260613142807_0099_D.MP4","3","fallback","clip_only",""
"asset_08c943eb9686","Baymax-Phone/aeba74158f1c4d091f0b02cda1f2ea0a_raw.mp4","1","discard","clip_only",""
"asset_953859dca426","Action6/DJI_20260613111546_0077_D.MP4","2","fallback","clip_only",""
"asset_9c300cf78fc5","Action6/DJI_20260612161430_0037_D.MP4","4","likely_use","clip_only",""
"asset_45ba04150e7e","Robert-iPhone/IMG_4330.MOV","3","likely_use","whole_asset",""
"asset_a638791ae696","jixin-Nano/dji_mimo_20260612_162052_20260612162052_1781257151129_video.MP4","5","highlight","whole_asset",""
"asset_5b691e6d1dbf","Robert-iPhone/IMG_4344.MOV","2","fallback","clip_only",""
"asset_9196effa5897","Action6/DJI_20260612155517_0029_D.MP4","5","highlight","clip_only",""
"asset_3df6a158ee7d","jixin-Nano/dji_mimo_20260613_103420_20260613103421_1781320040416_video.MP4","5","highlight","whole_asset",""
