asset_id,relative_path,baseline_rating,candidate_rating,expected_rating,expected_action,whole_asset_or_clip,content_title,summary,tags,clip_suggestions,error
asset_4fcc6d22fe1d,Action6/DJI_20260613111904_0083_D.MP4,2,1,,,,山谷碎石路上的全地形越野车队,视频起初展现了停留在山谷碎石路上的全地形越野车队，但随后镜头转向地面，并被手部严重遮挡，伴随剧烈晃动，整体画面失控且无有效视觉主体，无剪辑可用价值。,越野车、全地形车、碎石地、山谷、镜头遮挡、废片,[],
asset_5632cd93ba0d,Action6/DJI_20260612134026_0001_D.MP4,2,1,,,,户外山前人群拉横幅合影,画面记录了在山前碎石地上，一群人拉着横幅准备合影的场景。然而视频从第2秒开始右侧出现严重的手指遮挡镜头问题，导致画面无法使用，建议舍弃。,户外、拉横幅、合影、山景、镜头遮挡、废片,[],
asset_1d7faf8ae47d,Robert-iPhone/IMG_4293.MOV,3,3,,,,夜间院子中燃放地面烟花,视频记录了夜间在民宿或度假村院子中燃放地面小烟花的过程。烟花先是放出白烟，随后向空中喷射出金色火花，适合作为旅拍夜间活动或篝火晚会前奏的B-roll素材。,夜景、烟花、火花、民宿院子、活动花絮、夜生活,"[{""in"": ""00:06"", ""out"": ""00:13"", ""role"": ""过场"", ""subject_type"": ""activity"", ""shot_scale"": ""wide"", ""rating"": 3, ""reason"": ""烟花从冒烟到喷射火花的完整过程，画面有动态变化和光影效果。"", ""audio_strategy"": ""保留烟花喷射的现场声效"", ""tags"": [""烟花喷射"", ""夜间氛围"", ""火花""]}]",
asset_399e110ef06d,Robert-iPhone/IMG_4328.MOV,3,3,,,,男子坐在床边准备吃早餐,画面展现了一名身穿白T恤的男子坐在酒店床边，身前小桌上摆放着简易早餐，他神情轻松地对着镜头或旁人说话。整体光线自然，适合作为旅途生活记录或Vlog日常片段。,男子、床边、早餐、日常、Vlog、生活记录、酒店,"[{""in"": ""00:00"", ""out"": ""00:12"", ""role"": ""日常生活片段"", ""subject_type"": ""people"", ""shot_scale"": ""medium"", ""rating"": 3, ""reason"": ""人物状态自然，说话神态轻松，适合用于展现旅途中的清晨或休整时刻。"", ""audio_strategy"": ""保留人声对白"", ""tags"": [""男子"", ""日常"", ""闲聊"", ""早餐"", ""Vlog""]}]",
asset_19c90ef73031,jixin-Nano/dji_mimo_20260612_161722_20260612161723_1781257158009_video.MP4,3,3,,,,游客在峡谷河道中体验漂流,画面以第一视角展现了游客们在峡谷中体验橡皮艇漂流的场景。多只彩色漂流船分布在河道中，游客均穿着救生衣，镜头伴随水流有轻微起伏，代入感较强，但镜头两侧有明显水渍遮挡，影响画面清晰度。,漂流、峡谷、户外运动、橡皮艇、第一视角、夏日消暑,"[{""in"": ""00:00"", ""out"": ""00:07"", ""role"": ""过场"", ""subject_type"": ""activity"", ""shot_scale"": ""wide"", ""rating"": 3, ""reason"": ""第一视角记录漂流群像，水流起伏带来一定的动感，适合作为展现景区游玩项目的过场B-roll。"", ""audio_strategy"": ""保留环境音"", ""tags"": [""漂流"", ""第一视角"", ""峡谷"", ""户外活动""]}]",
asset_de4c87c97932,Action6/DJI_20260613144503_0109_D.MP4,3,2,,,,男子在五彩灯光溶洞内游览,视频展示了五彩灯光照射下的溶洞景观，镜头从特写绿色光影岩石与标识牌，转向拍摄同行男子的正面近景。画面整体光线较暗且伴随手持晃动，可作为溶洞探险或旅游Vlog的低优先级过场片段。,溶洞、彩色灯光、游客、探险、地质景观、手持运镜,"[{""in"": ""00:00"", ""out"": ""00:05"", ""role"": ""花絮过场"", ""subject_type"": ""people_landscape"", ""shot_scale"": ""medium"", ""rating"": 2, ""reason"": ""展示溶洞内部的彩色灯光与游客的随性记录，适合作为Vlog转场或花絮。"", ""audio_strategy"": ""保留现场环境音"", ""tags"": [""溶洞"", ""彩色灯光"", ""手持随拍""]}]",
asset_9aecc49cacb4,Robert-iPhone/IMG_4343.MOV,3,2,,,,依山而建的度假别墅群远景,画面展示了坐落在郁郁葱葱山坡上的度假别墅群，前景有木质围栏与山石装饰。整体色调偏阴天，镜头基本静止，适合作为景区或度假村的环境交代过渡镜头，但因时长极短且天气较阴，实用性较低。,度假别墅、山庄、绿植、远景、环境交代、阴天,"[{""in"": ""0"", ""out"": ""1.8"", ""role"": ""过场B-roll"", ""subject_type"": ""building"", ""shot_scale"": ""wide"", ""rating"": 2, ""reason"": ""展示度假村别墅群的整体环境，可用于快速转场交代地理位置。"", ""audio_strategy"": ""静音，替换为成片背景音乐"", ""tags"": [""度假村"", ""别墅建筑"", ""环境交代""]}]",
asset_73db1344d9d0,Robert-iPhone/IMG_4281.MOV,3,2,,,,游客身穿一次性雨衣在雨中行走,画面展示了多名游客身穿一次性雨衣在户外雨中行走的背影。由于镜头存在持续的90度倾斜且伴随手持晃动，画面观感较为不自然，仅可作为雨天出游的低优先级花絮备用。,雨天、雨衣、游客、背影、户外、行走,"[{""in"": ""00:00"", ""out"": ""00:07"", ""role"": ""花絮"", ""subject_type"": ""people"", ""shot_scale"": ""medium"", ""rating"": 2, ""reason"": ""记录游客身穿雨衣行走的雨天场景，但因画面严重倾斜且晃动，仅能作为低优先级备用素材。"", ""audio_strategy"": ""保留环境音"", ""tags"": [""雨天"", ""雨衣"", ""背影"", ""行走""]}]",
asset_50fc29c93238,Robert-iPhone/IMG_4291.MOV,3,3,,,,红衣男子在户外聚会中手持麦克风讲话,视频记录了夜间户外聚会场景，一名身穿红色球衣的男子手持麦克风在树旁讲话或唱歌。视频中间有较大幅度的晃动和横移镜头，建议截取前段较稳定的讲话画面使用。,户外聚会、唱歌、麦克风、夜生活、红衣男子、烧烤聚餐,"[{""in"": ""00:00"", ""out"": ""00:02"", ""role"": ""活动花絮"", ""subject_type"": ""people"", ""shot_scale"": ""medium"", ""rating"": 3, ""reason"": ""男子手持麦克风讲话的正面中景，避开了后续剧烈的镜头晃动，画面主体明确。"", ""audio_strategy"": ""保留现场讲话原声"", ""tags"": [""红衣男子"", ""讲话"", ""户外聚会"", ""夜间""]}]",
asset_f47b58e38c53,Action6/DJI_20260613102503_0054_D.MP4,3,2,,,,峡谷峭壁与河流远景,画面展示了晴空下的峡谷峭壁与底部河流，绿植覆盖率高。镜头基本静止，左下角偶有微小人物或遮挡出现，整体构图较平淡，适合作为风光过场备用。,峡谷、峭壁、河流、自然风光、蓝天白云、空镜,"[{""in"": ""00:00"", ""out"": ""00:02"", ""role"": ""过场"", ""subject_type"": ""landscape"", ""shot_scale"": ""wide"", ""rating"": 2, ""reason"": ""避开了后期左下角出现的遮挡物，画面较为干净，可作为峡谷环境交代。"", ""audio_strategy"": """", ""tags"": [""峡谷"", ""峭壁"", ""河流"", ""自然风光""]}]",
