asset_id,relative_path,expected_rating,expected_action,whole_asset_or_clip,notes
"asset_4fcc6d22fe1d","Action6/DJI_20260613111904_0083_D.MP4","2","discard","clip_only",""
"asset_5632cd93ba0d","Action6/DJI_20260612134026_0001_D.MP4","1","discard","clip_only",""
"asset_1d7faf8ae47d","Robert-iPhone/IMG_4293.MOV","3","fallback","clip_only",""
"asset_399e110ef06d","Robert-iPhone/IMG_4328.MOV","4","likely_use","clip_only",""
"asset_19c90ef73031","jixin-Nano/dji_mimo_20260612_161722_20260612161723_1781257158009_video.MP4","3","review","clip_only",""
"asset_de4c87c97932","Action6/DJI_20260613144503_0109_D.MP4","1","discard","clip_only",""
"asset_9aecc49cacb4","Robert-iPhone/IMG_4343.MOV","1","discard","clip_only",""
"asset_73db1344d9d0","Robert-iPhone/IMG_4281.MOV","4","likely_use","whole_asset",""
"asset_50fc29c93238","Robert-iPhone/IMG_4291.MOV","2","discard","clip_only",""
"asset_f47b58e38c53","Action6/DJI_20260613102503_0054_D.MP4","4","likely_use","clip_only",""
"asset_36065cea16d5","Action6/DJI_20260613143925_0104_D.MP4","4","likely_use","clip_only",""
"asset_588339a6dd99","Robert-iPhone/IMG_4289.MOV","5","highlight","whole_asset",""
"asset_6ad9a06742ae","Robert-iPhone/IMG_4307.MOV","3","review","clip_only",""
"asset_f9b03c8bf769","jixin-Nano/dji_mimo_20260613_102348_20260613102348_1781320061900_video.MP4","3","review","clip_only",""
"asset_1c5fed861a8e","Action6/DJI_20260613145058_0115_D.MP4","5","highlight","whole_asset",""
"asset_377fc3f9400a","Robert-iPhone/IMG_4347.MOV","4","likely_use","whole_asset",""
"asset_35c7b26bc726","Robert-iPhone/IMG_4278.MOV","4","likely_use","clip_only",""
"asset_3c58cc80f7b5","QiWei-Action/dji_mimo_20230108_014246_20230107174246_1783443331727_video(1).mp4","4","likely_use","clip_only",""
"asset_49ba9c5ba398","Robert-iPhone/IMG_4283.MOV","4","fallback","clip_only",""
"asset_19c9d3250a4a","Baymax-Phone/448c94fb03a77fe3591be85d5d9bcb6d_raw.mp4","5","highlight","whole_asset",""
"asset_db7ca8e21e85","Robert-iPhone/copy_8D60C065-B0E7-4821-964F-D77B058248C6.mov","5","highlight","clip_only",""
"asset_7d780ff509fe","Robert-iPhone/IMG_4288.MOV","4","likely_use","clip_only",""
"asset_0536b39c93fa","Action6/DJI_20260613112538_0090_D.MP4","4","likely_use","clip_only",""
"asset_8e9bddf980e5","jixin-Nano/dji_mimo_20260613_103226_20260613103227_1781320043386_video.MP4","1","discard","clip_only",""
"asset_b9d7cb9dd0a1","Robert-iPhone/IMG_4338.MOV","3","review","whole_asset",""
"asset_2dc71a50d977","Robert-iPhone/IMG_4345.MOV","4","fallback","whole_asset",""
"asset_c054fc048448","Robert-iPhone/IMG_4301.MOV","5","highlight","clip_only",""
"asset_3dbefc668b8b","jixin-Nano/dji_mimo_20260612_153416_20260612153417_1781257191686_video.MP4","5","highlight","whole_asset",""
"asset_7a799c8168cd","Robert-iPhone/IMG_4292.MOV","5","likely_use","whole_asset",""
"asset_164c5788ff39","Robert-iPhone/IMG_4308.MOV","3","review","clip_only",""
"asset_96340366d4ce","Action6/DJI_20260613111512_0076_D.MP4","4","likely_use","clip_only",""
"asset_0b644710c4ca","Action6/DJI_20260612161515_0038_D.MP4","3","review","clip_only",""
"asset_3056452450fb","Robert-iPhone/IMG_4333.MOV","4","likely_use","clip_only",""
"asset_6db010837f51","Robert-iPhone/IMG_4346.MOV","4","likely_use","clip_only",""
"asset_030e3aca65aa","Action6/DJI_20260613111723_0079_D.MP4","2","fallback","clip_only",""
"asset_88844cf7f24f","Robert-iPhone/IMG_4282.MOV","3","discard","clip_only",""
"asset_158895b72f22","Action6/DJI_20260613142807_0099_D.MP4","3","fallback","clip_only",""
"asset_08c943eb9686","Baymax-Phone/aeba74158f1c4d091f0b02cda1f2ea0a_raw.mp4","4","discard","clip_only",""
"asset_953859dca426","Action6/DJI_20260613111546_0077_D.MP4","2","fallback","clip_only",""
"asset_9c300cf78fc5","Action6/DJI_20260612161430_0037_D.MP4","4","likely_use","clip_only",""
"asset_45ba04150e7e","Robert-iPhone/IMG_4330.MOV","3","likely_use","whole_asset",""
"asset_a638791ae696","jixin-Nano/dji_mimo_20260612_162052_20260612162052_1781257151129_video.MP4","5","highlight","whole_asset",""
"asset_5b691e6d1dbf","Robert-iPhone/IMG_4344.MOV","4","fallback","clip_only",""
"asset_9196effa5897","Action6/DJI_20260612155517_0029_D.MP4","5","highlight","clip_only",""
"asset_3df6a158ee7d","jixin-Nano/dji_mimo_20260613_103420_20260613103421_1781320040416_video.MP4","5","highlight","whole_asset",""
