"asset_id","relative_path","expected_rating","human_rating_reason","balanced_rating","conservative_rating","recall_rating","preferred_variant","review_note"
"asset_de4c87c97932","Action6/DJI_20260613144503_0109_D.MP4","1","视频意义不明，","2","3","2","v5-balanced",""
"asset_953859dca426","Action6/DJI_20260613111546_0077_D.MP4","2","整个视频处于倾斜的状态，非常不自然","3","4","4","v5-recall",""
"asset_f9b03c8bf769","jixin-Nano/dji_mimo_20260613_102348_20260613102348_1781320061900_video.MP4","3","画面里确实有几辆越野车，但是在画面里太小了","3","4","3","v5-recall",""
"asset_35c7b26bc726","Robert-iPhone/IMG_4278.MOV","4","最后两人摆出肌肉的样子，很有趣味性","5","4","4","v5-balanced",""
"asset_08c943eb9686","Baymax-Phone/aeba74158f1c4d091f0b02cda1f2ea0a_raw.mp4","4","视频是竖版视频，在缺少这个要求的上下文时评分差距大也算符合预期吧","3","4","4","v5-balanced",""
"asset_73db1344d9d0","Robert-iPhone/IMG_4281.MOV","4","前2个人的雨衣没有问题，第三个人的雨衣后脑勺破了一个洞，画面充满趣味性","2","2","2","none","有一个雨衣破碎漏出后脑，有一定的趣味性"
"asset_1c5fed861a8e","Action6/DJI_20260613145058_0115_D.MP4","5","视频中有个漂亮且少见的旋转运镜","3","3","3","v5-recall",""
"asset_8e9bddf980e5","jixin-Nano/dji_mimo_20260613_103226_20260613103227_1781320043386_video.MP4","1","构图太差，看上主体是山林景色，但非常边缘的位置又有越野车，主体不明","3","3","3","v5-recall",""
"asset_164c5788ff39","Robert-iPhone/IMG_4308.MOV","3","","4","2","3","v5-recall",""
"asset_9aecc49cacb4","Robert-iPhone/IMG_4343.MOV","1","","3","2","2","v5-recall",""
"asset_f47b58e38c53","Action6/DJI_20260613102503_0054_D.MP4","4","","2","3","2","v5-recall",""
"asset_36065cea16d5","Action6/DJI_20260613143925_0104_D.MP4","4","","3","2","3","v5-recall",""
"asset_19c9d3250a4a","Baymax-Phone/448c94fb03a77fe3591be85d5d9bcb6d_raw.mp4","5","","4","3","4","v5-recall",""
"asset_db7ca8e21e85","Robert-iPhone/copy_8D60C065-B0E7-4821-964F-D77B058248C6.mov","5","","4","3","4","v5-recall",""
"asset_7a799c8168cd","Robert-iPhone/IMG_4292.MOV","5","","3","3","4","v5-recall",""
"asset_6db010837f51","Robert-iPhone/IMG_4346.MOV","4","","2","3","3","v5-recall",""
"asset_a638791ae696","jixin-Nano/dji_mimo_20260612_162052_20260612162052_1781257151129_video.MP4","5","","4","3","4","v5-recall",""
"asset_4fcc6d22fe1d","Action6/DJI_20260613111904_0083_D.MP4","2","","2","1","1","v5-recall",""
"asset_5632cd93ba0d","Action6/DJI_20260612134026_0001_D.MP4","1","","1","2","1","v5-balanced",""
"asset_19c90ef73031","jixin-Nano/dji_mimo_20260612_161722_20260612161723_1781257158009_video.MP4","3","","3","2","3","v5-conservative",""
"asset_50fc29c93238","Robert-iPhone/IMG_4291.MOV","2","","2","2","3","v5-recall",""
"asset_6ad9a06742ae","Robert-iPhone/IMG_4307.MOV","3","","3","4","4","v5-conservative",""
"asset_377fc3f9400a","Robert-iPhone/IMG_4347.MOV","4","","4","3","4","v5-recall",""
"asset_0536b39c93fa","Action6/DJI_20260613112538_0090_D.MP4","4","","4","4","5","v5-conservative",""
"asset_2dc71a50d977","Robert-iPhone/IMG_4345.MOV","4","","3","4","3","v5-recall",""
"asset_c054fc048448","Robert-iPhone/IMG_4301.MOV","5","","4","4","5","v5-recall",""
"asset_3dbefc668b8b","jixin-Nano/dji_mimo_20260612_153416_20260612153417_1781257191686_video.MP4","5","","4","5","5","v5-conservative",""
"asset_96340366d4ce","Action6/DJI_20260613111512_0076_D.MP4","4","","3","4","3","v5-recall",""
"asset_5b691e6d1dbf","Robert-iPhone/IMG_4344.MOV","4","","3","4","4","v5-recall",""
"asset_9196effa5897","Action6/DJI_20260612155517_0029_D.MP4","5","","4","4","5","v5-recall",""
"asset_3df6a158ee7d","jixin-Nano/dji_mimo_20260613_103420_20260613103421_1781320040416_video.MP4","5","","4","5","5","v5-recall",""
"asset_399e110ef06d","Robert-iPhone/IMG_4328.MOV","4","","3","3","3","",""
"asset_588339a6dd99","Robert-iPhone/IMG_4289.MOV","5","","4","4","4","",""
"asset_49ba9c5ba398","Robert-iPhone/IMG_4283.MOV","4","","3","3","3","",""
"asset_3056452450fb","Robert-iPhone/IMG_4333.MOV","4","","3","3","3","",""
"asset_88844cf7f24f","Robert-iPhone/IMG_4282.MOV","3","","2","2","2","",""
"asset_45ba04150e7e","Robert-iPhone/IMG_4330.MOV","3","","4","4","4","",""
"asset_1d7faf8ae47d","Robert-iPhone/IMG_4293.MOV","3","","3","3","3","",""
"asset_3c58cc80f7b5","QiWei-Action/dji_mimo_20230108_014246_20230107174246_1783443331727_video(1).mp4","4","","4","4","4","",""
"asset_7d780ff509fe","Robert-iPhone/IMG_4288.MOV","4","","4","4","4","",""
"asset_b9d7cb9dd0a1","Robert-iPhone/IMG_4338.MOV","3","","3","3","3","",""
"asset_0b644710c4ca","Action6/DJI_20260612161515_0038_D.MP4","3","","3","3","3","",""
"asset_030e3aca65aa","Action6/DJI_20260613111723_0079_D.MP4","2","","2","2","2","",""
"asset_158895b72f22","Action6/DJI_20260613142807_0099_D.MP4","3","","3","3","3","",""
"asset_9c300cf78fc5","Action6/DJI_20260612161430_0037_D.MP4","4","","4","4","4","",""
