asset_id,relative_path,baseline_rating,candidate_rating,expected_rating,expected_action,whole_asset_or_clip,content_title,summary,tags,clip_suggestions,error
asset_96340366d4ce,Action6/DJI_20260613111512_0076_D.MP4,3,4,,,,游客在山间道路上驾驶全地形越野车,画面展示了多辆全地形越野车（ATV）在绿色山谷的泥土道路上依次驶过镜头的场景。前半段越野车通过的画面构图稳定、主体突出，适合作为户外冒险或旅拍的活动展示素材；后半段因手指遮挡镜头而不可用。,越野车、ATV、户外冒险、山谷、骑行、泥土路、夏日旅拍,"[{""in"": ""00:00"", ""out"": ""00:18"", ""role"": ""户外体验展示"", ""subject_type"": ""activity"", ""shot_scale"": ""wide"", ""rating"": 4, ""reason"": ""此片段中多辆越野车依次通过，动作连贯，主体清晰，背景山色明朗，无遮挡瑕疵，是极佳的户外活动B-roll。"", ""audio_strategy"": ""保留引擎声与风声"", ""tags"": [""越野车"", ""户外运动"", ""山野"", ""速度感""]}]",
asset_0b644710c4ca,Action6/DJI_20260612161515_0038_D.MP4,3,3,,,,游客在漂流景区互动与自拍,视频前半段展示了一群游客在雨中的漂流景区入口处交流互动，其中一名女生拿出手机进行自拍，画面具有真实的生活纪实感；后半段镜头严重倾斜并出现面部超近景，画面杂乱无法使用。,漂流景区、游客互动、雨中出行、手机自拍、旅行纪实、生活Vlog,"[{""in"": ""00:00"", ""out"": ""00:24"", ""role"": ""花絮片段"", ""subject_type"": ""people_landscape"", ""shot_scale"": ""medium"", ""rating"": 3, ""reason"": ""该片段画面相对稳定，清晰记录了游客在景区互动、自拍的真实状态，适合作为旅行Vlog的插画素材。"", ""audio_strategy"": ""保留游客说话声与环境雨声"", ""tags"": [""游客互动"", ""手机自拍"", ""景区纪实""]}]",
asset_3056452450fb,Robert-iPhone/IMG_4333.MOV,3,3,,,,游客在彩色溶洞内对着镜头微笑,画面展示了两位男性游客在带有紫色和蓝色灯光的溶洞景区内，对着镜头微笑互动的场景。视频后半段出现剧烈晃动和镜头遮挡，仅前两秒可作为Vlog花絮使用。,溶洞、游客、微笑、互动、彩色灯光、花絮,"[{""in"": ""00:00"", ""out"": ""00:02"", ""role"": ""花絮"", ""subject_type"": ""people_landscape"", ""shot_scale"": ""medium"", ""rating"": 3, ""reason"": ""前两秒画面主体清晰，人物表情自然，展现了溶洞景区的游玩氛围，避开了后半段的剧烈晃动与遮挡。"", ""audio_strategy"": ""保留人声与环境音"", ""tags"": [""游客"", ""微笑"", ""溶洞"", ""互动""]}]",
asset_6db010837f51,Robert-iPhone/IMG_4346.MOV,3,3,,,,傍晚落日余晖下的城市公路车载画面,本视频为车载视角拍摄的傍晚城市公路画面，展现了落日余晖下的高架入口与周边车流。画面中挡风玻璃有雨滴和较强的光晕折射，可作为城市出行或旅途转场的过渡素材。,车载镜头、落日余晖、城市晚霞、公路车流、转场素材、雨后傍晚,"[{""in"": ""00:00"", ""out"": ""00:05"", ""role"": ""过场剪辑"", ""subject_type"": ""landscape"", ""shot_scale"": ""wide"", ""rating"": 3, ""reason"": ""整段视频运镜平稳，展现了完整的傍晚晚霞与车流行进画面，适合作为旅途转场。"", ""audio_strategy"": ""保留环境音"", ""tags"": [""车载视角"", ""城市晚霞"", ""公路行车""]}]",
asset_030e3aca65aa,Action6/DJI_20260613111723_0079_D.MP4,3,2,,,,游客驾驶全地形越野车在碎石河滩停留整队,画面展示了一群游客驾驶红色全地形车在群山环抱的碎石河滩上停靠。由于前景有人员走动并严重遮挡镜头，构图较为杂乱，整体视觉效果受到明显干扰，仅可作为低优先级备用素材。,全地形车、越野体验、碎石滩、山谷、户外探险、团队活动,"[{""in"": ""00:10"", ""out"": ""00:14"", ""role"": ""花絮过场"", ""subject_type"": ""activity"", ""shot_scale"": ""wide"", ""rating"": 2, ""reason"": ""此段前景走动的人员基本离开画面，车队主体展示相对完整，遮挡较少。"", ""audio_strategy"": ""保留环境音"", ""tags"": [""越野车队"", ""山谷河滩"", ""户外体验""]}]",
asset_88844cf7f24f,Robert-iPhone/IMG_4282.MOV,3,2,,,,酒店房间内部实况记录,视频以手持镜头记录了酒店双人房的内部环境，展示了挂衣钩、地面行李、床铺及窗外绿植。画面存在较明显的手持抖动且杂物较多，构图较为随意，仅适合作为旅行记录的低优先级备用素材。,酒店客房、房间内景、手持扫摄、旅行住宿、备用素材,[],
asset_158895b72f22,Action6/DJI_20260613142807_0099_D.MP4,3,3,,,,游客在灯光昏暗的溶洞中沿铁梯攀登,画面展现了数名游客在昏暗的溶洞内部，顺着陡峭的铁质楼梯向上攀登的探险过程。洞内有黄色灯光照明，伴有手电筒强光，整体环境具有神秘的探险氛围，适合作为展现溶洞探秘或旅途攀登的过渡素材。,溶洞、探险、攀登、游客、地下世界、旅行纪实,"[{""in"": ""00:00"", ""out"": ""00:08"", ""role"": ""过场"", ""subject_type"": ""people_landscape"", ""shot_scale"": ""medium"", ""rating"": 3, ""reason"": ""完整记录了游客在昏暗溶洞中沿阶梯向上攀爬的过程，光影具有一定的探险氛围，适合用于展现旅程中的探秘环节。"", ""audio_strategy"": ""保留现场环境音"", ""tags"": [""溶洞攀登"", ""探险纪实"", ""阶梯"", ""暗光环境""]}]",
asset_08c943eb9686,Baymax-Phone/aeba74158f1c4d091f0b02cda1f2ea0a_raw.mp4,4,4,,,,男子在山间驾驶全地形越野车,画面展示了游客在绿意盎然的山间驾驶全地形越野车（ATV）的场景。主体人物身穿浅蓝色T恤、戴头盔，驾驶红色越野车在泥泞山路上行驶，期间有回头看镜头的自然互动，背景为茂密的山林，非常适合作为户外冒险或旅拍的活动展示B-roll。,越野车、户外冒险、山地骑行、丛林越野、人物互动、绿色山脉,"[{""in"": ""00:00"", ""out"": ""00:08"", ""role"": ""活动展示"", ""subject_type"": ""activity"", ""shot_scale"": ""medium"", ""rating"": 4, ""reason"": ""骑行者在山间驾驶越野车，期间有回头看镜头的互动，画面稳定，山景优美，适合作为旅拍中户外运动的展示镜头。"", ""audio_strategy"": ""保留越野车引擎声与环境风声"", ""tags"": [""越野车"", ""户外运动"", ""山地骑行"", ""回头互动"", ""丛林冒险""]}]",
asset_953859dca426,Action6/DJI_20260613111546_0077_D.MP4,4,4,,,,游客在山谷中驾驶全地形越野车,视频记录了游客在山谷碎石路上体验全地形越野车（ATV）的场景。前半段镜头存在严重倾斜，后半段展示了游客骑行及面对镜头微笑互动的画面，尾段有手指遮挡镜头的穿帮镜头。建议截取中部游客互动的优质片段使用。,全地形车、越野体验、山谷、游客、户外运动、团队出行,"[{""in"": ""00:20"", ""out"": ""00:26"", ""role"": ""活动体验展示"", ""subject_type"": ""activity"", ""shot_scale"": ""medium"", ""rating"": 4, ""reason"": ""该片段画面相对平稳，清晰展现了多位游客骑乘越野车并面对镜头微笑互动的场景，人物情绪自然，适合作为旅拍中户外体验的高光或花絮镜头。"", ""audio_strategy"": ""保留现场人声与越野车引擎声"", ""tags"": [""越野车"", ""游客互动"", ""开心微笑"", ""户外体验""]}]",
asset_9c300cf78fc5,Action6/DJI_20260612161430_0037_D.MP4,4,4,,,,雨天景区游客面对镜头的欢笑互动,画面展示了四位年轻女游客在雨天的景区（身旁有漂流救生衣和水池）面对镜头时的真实互动。她们撑着伞，面对镜头显得有些害羞但十分开心，不断欢笑、捂嘴并用手遮挡镜头，展现了轻松愉快的旅途氛围，非常适合作为旅拍Vlog中展现人物真实状态的趣味片段。,雨天旅行、朋友互动、欢笑、景区打卡、真实情绪、旅拍Vlog,"[{""in"": ""00:05"", ""out"": ""00:33"", ""role"": ""趣味互动片段"", ""subject_type"": ""people"", ""shot_scale"": ""close_up"", ""rating"": 4, ""reason"": ""女孩们面对镜头展现出非常自然、生动的欢笑与害羞反应，互动感极强，是展现旅途趣味和人物情绪的高光时刻。"", ""audio_strategy"": ""保留现场欢笑声与环境雨声"", ""tags"": [""欢笑互动"", ""真实情绪"", ""雨中撑伞"", ""趣味镜头""]}]",
