asset_id,relative_path,baseline_rating,candidate_rating,expected_rating,expected_action,whole_asset_or_clip,content_title,summary,tags,clip_suggestions,error
asset_96340366d4ce,Action6/DJI_20260613111512_0076_D.MP4,3,3,,,,游客驾驶全地形越野车在山间土路上行驶,视频记录了多名游客在山谷间驾驶全地形越野车（ATV）穿梭的场景。前半段多辆越野车依次驶过镜头，画面展现了户外运动的活力，可作为旅途冒险的B-roll；后半段镜头被手指遮挡，属于无效画面。,全地形车、越野车、户外运动、山谷、骑行、冒险体验、泥泞道路,"[{""in"": ""00:00"", ""out"": ""00:18"", ""role"": ""活动展示"", ""subject_type"": ""activity"", ""shot_scale"": ""wide"", ""rating"": 3, ""reason"": ""多辆越野车依次驶过镜头，画面主体清晰，展现了户外越野的动感与趣味，且避开了后半段手指遮挡的瑕疵。"", ""audio_strategy"": ""保留引擎声与环境音"", ""tags"": [""越野车"", ""户外骑行"", ""山间小路"", ""动感画面""]}]",
asset_0b644710c4ca,Action6/DJI_20260612161515_0038_D.MP4,3,3,,,,游客在雨中漂流景区合影自拍,视频前半段展示了一群游客在雨中的漂流景区入口交流，随后女生们撑伞用手机进行合影自拍，展现了轻松真实的旅途互动；后半段镜头出现严重倾斜、对地及面部超近景等无法使用的技术瑕疵。建议截取前半段自拍互动作为旅游Vlog的趣味花絮。,漂流景区、雨中撑伞、朋友自拍、人物互动、旅行花絮、生活记录,"[{""in"": ""00:18"", ""out"": ""00:28"", ""role"": ""趣味互动"", ""subject_type"": ""people"", ""shot_scale"": ""medium"", ""rating"": 3, ""reason"": ""女生们在雨中撑伞用手机合影自拍，展现旅途中朋友间的亲密互动与欢乐氛围，画面主体清晰，动作自然。"", ""audio_strategy"": ""保留现场环境音与欢笑声"", ""tags"": [""自拍"", ""朋友合影"", ""雨中"", ""漂流景区"", ""欢笑""]}]",
asset_3056452450fb,Robert-iPhone/IMG_4333.MOV,3,3,,,,男子在彩色溶洞中手持手机录像,视频前半段展示了两位男子在蓝色灯光渲染的溶洞中面对镜头微笑互动的画面，人物状态自然；后半段镜头发生剧烈旋转和倾斜，导致画面不可用。建议仅截取前2秒作为Vlog日常记录片段。,溶洞、游客、自拍、人物纪实、彩色灯光、朋友同行,"[{""in"": ""00:00"", ""out"": ""00:02"", ""role"": ""人物出镜"", ""subject_type"": ""people_landscape"", ""shot_scale"": ""medium"", ""rating"": 3, ""reason"": ""前两秒人物表情自然，背景为色彩斑斓的溶洞景观，适合作为Vlog日常记录；两秒后镜头出现剧烈晃动和倾斜，不可用。"", ""audio_strategy"": ""保留现场人声"", ""tags"": [""溶洞"", ""自拍"", ""人物互动""]}]",
asset_6db010837f51,Robert-iPhone/IMG_4346.MOV,3,2,,,,傍晚时分车流在城市道路上行驶,视频为第一人称乘车视角拍摄的傍晚城市道路。画面中可见远处的晚霞与前方的车流，但由于挡风玻璃或镜头的折射，画面中存在非常严重的对角线强光拉丝（眩光），严重影响了整体视觉观感，仅可作为低优先级备用过渡素材。,城市道路、晚霞、行车记录、车流、黄昏、过渡镜头,"[{""in"": ""00:00"", ""out"": ""00:05"", ""role"": ""过渡镜头"", ""subject_type"": ""landscape"", ""shot_scale"": ""wide"", ""rating"": 2, ""reason"": ""虽然存在严重的眩光干扰，但整体行车画面完整，展现了黄昏时分的城市车流，勉强可用作氛围过渡。"", ""audio_strategy"": ""保留车内环境音"", ""tags"": [""行车视角"", ""黄昏车流"", ""城市街景""]}]",
asset_030e3aca65aa,Action6/DJI_20260613111723_0079_D.MP4,3,2,,,,游客在河滩上骑全地形越野车,画面记录了一群游客在乱石河滩上骑全地形车聚集的场景。由于前景频繁有路人走过干扰构图，且镜头存在手持晃动，整体视觉效果较为杂乱，仅能作为低优先级的活动记录素材备用。,全地形车、越野车、河滩、户外运动、游客、山谷,"[{""in"": ""00:03"", ""out"": ""00:07"", ""role"": ""过场"", ""subject_type"": ""activity"", ""shot_scale"": ""wide"", ""rating"": 2, ""reason"": ""此片段中越野车群相对完整呈现，前景路人干扰相对较少，可作为活动场景的交代。"", ""audio_strategy"": ""保留环境音"", ""tags"": [""全地形车"", ""户外运动"", ""河滩""]}]",
asset_88844cf7f24f,Robert-iPhone/IMG_4282.MOV,3,2,,,,酒店双人房内部环境手持环视,手持环视拍摄了酒店双人房的内部环境，包含挂衣钩、床铺、行李和窗外景色。画面存在较明显的晃动与杂乱感，技术质量一般，适合作为低优先级的旅行记录素材。,酒店客房、房间内景、手持拍摄、旅行纪实、双人床,"[{""in"": ""00:02"", ""out"": ""00:07"", ""role"": ""环境交代"", ""subject_type"": ""building"", ""shot_scale"": ""wide"", ""rating"": 2, ""reason"": ""该片段较为连贯地展示了房间的内部布局与采光，虽有晃动，但勉强可用作住宿环境的纪实交代。"", ""audio_strategy"": ""静音"", ""tags"": [""房间布局"", ""客房内景"", ""纪实""]}]",
asset_158895b72f22,Action6/DJI_20260613142807_0099_D.MP4,3,3,,,,游客在灯光昏暗的溶洞中攀爬陡峭铁梯,画面记录了数名游客在昏暗的溶洞内部，顺着陡峭的红色铁质楼梯向上攀爬的场景。洞壁由黄色灯光打亮，伴有较强的镜头眩光，适合作为展现洞穴探险或景区游览过程的过渡B-roll。,溶洞、洞穴探险、爬楼梯、游客、地下景观、探秘,"[{""in"": ""00:01"", ""out"": ""00:07"", ""role"": ""过场"", ""subject_type"": ""people_landscape"", ""shot_scale"": ""medium"", ""rating"": 3, ""reason"": ""该段攀爬动作连贯，镜头跟随感较强，较好地展现了溶洞探险的陡峭与神秘感。"", ""audio_strategy"": ""保留现场环境音"", ""tags"": [""溶洞攀登"", ""探险过场"", ""神秘氛围""]}]",
asset_08c943eb9686,Baymax-Phone/aeba74158f1c4d091f0b02cda1f2ea0a_raw.mp4,4,3,,,,游客在山谷泥地上驾驶越野沙滩车,画面展示了游客在群山环抱的绿色山谷中驾驶越野沙滩车（ATV）的场景。镜头从后方跟随，记录了骑手准备并向前行驶的过程，适合作为户外冒险或旅拍的活动花絮及过场B-roll。,越野沙滩车、户外冒险、山谷、骑行、旅拍B-roll、全地形车,"[{""in"": ""00:01"", ""out"": ""00:09"", ""role"": ""活动花絮"", ""subject_type"": ""activity"", ""shot_scale"": ""medium"", ""rating"": 3, ""reason"": ""骑手驾驶越野车在山谷泥路上前行，画面具有动感和户外探险氛围，适合作为旅拍成片的过场或活动展示。"", ""audio_strategy"": ""保留引擎声和风声"", ""tags"": [""越野车"", ""山谷骑行"", ""户外运动""]}]",
asset_953859dca426,Action6/DJI_20260613111546_0077_D.MP4,4,3,,,,游客在峡谷砂石路体验全地形越野车,视频记录了游客在峡谷景区驾驶全地形越野车（ATV）的体验。前半段镜头存在严重的画面倾斜与晃动，后半段展示了游客在车上合影的画面，但结尾处有手指遮挡镜头的技术瑕疵。建议截取越野车合影片段作为活动记录使用。,全地形车、越野体验、峡谷景区、团队合影、户外冒险、游客,"[{""in"": ""00:23"", ""out"": ""00:28"", ""role"": ""活动记录"", ""subject_type"": ""activity"", ""shot_scale"": ""medium"", ""rating"": 3, ""reason"": ""游客在越野车上合影，神态自然，画面相对稳定，展现了团队出游的欢乐氛围。"", ""audio_strategy"": ""保留环境音"", ""tags"": [""越野车合影"", ""团队游客"", ""户外活动""]}, {""in"": ""00:00"", ""out"": ""00:04"", ""role"": ""环境交代"", ""subject_type"": ""landscape"", ""shot_scale"": ""wide"", ""rating"": 3, ""reason"": ""开场展示了峡谷与蓝天白云的空旷全景，可作为环境交代镜头。"", ""audio_strategy"": ""保留环境音"", ""tags"": [""峡谷全景"", ""蓝天白云"", ""空镜头""]}]",
asset_9c300cf78fc5,Action6/DJI_20260612161430_0037_D.MP4,4,4,,,,雨中景区撑伞互动的女生们,画面记录了四位女生在雨中的景区码头撑伞互动的场景。镜头拉近后，女生们面对镜头展现出害羞、欢笑等非常自然且富有感染力的真实情绪，非常适合作为旅拍Vlog中表现友情与欢乐旅途的趣味B-roll。,女生、雨天、撑伞、欢笑、互动、景区、真实反应、旅途记录,"[{""in"": ""00:04"", ""out"": ""00:32"", ""role"": ""人物趣味互动"", ""subject_type"": ""people"", ""shot_scale"": ""close_up"", ""rating"": 4, ""reason"": ""女生们面对镜头从害羞到大笑的连续真实反应，情绪极具感染力，画面构图稳定，主体突出。"", ""audio_strategy"": ""保留现场欢笑声与环境音"", ""tags"": [""欢笑瞬间"", ""真实情绪"", ""雨中互动"", ""闺蜜""]}]",
