asset_id,relative_path,baseline_rating,candidate_rating,expected_rating,expected_action,whole_asset_or_clip,content_title,summary,tags,clip_suggestions,error
asset_4fcc6d22fe1d,Action6/DJI_20260613111904_0083_D.MP4,2,1,,,,越野车队在碎石滩整装待发,视频开始短暂记录了碎石滩上停放的越野车队，随后镜头转向地面并被手部严重遮挡，存在严重的拍摄失误，整段素材无实际剪辑可用价值。,越野车、碎石滩、镜头遮挡、废片、户外,[],
asset_5632cd93ba0d,Action6/DJI_20260612134026_0001_D.MP4,2,2,,,,人群在山前拉横幅合影,画面记录了一群人在山前碎石路旁拉横幅合影的场景。视频后半段镜头右侧出现严重的手指遮挡，仅前半段极短时间勉强可用作低优先级备用素材。,户外、拉横幅、合影、山景、人群,"[{""in"": ""00:00"", ""out"": ""00:02"", ""role"": ""备用过场"", ""subject_type"": ""people_landscape"", ""shot_scale"": ""wide"", ""rating"": 2, ""reason"": ""避开了后半段严重的手指遮挡，但由于时长极短且内容普通，仅作备用。"", ""audio_strategy"": ""保留环境声"", ""tags"": [""人群"", ""横幅"", ""山前""]}]",
asset_1d7faf8ae47d,Robert-iPhone/IMG_4293.MOV,3,3,,,,夜晚院子中燃放烟花,视频展示了夜晚在民宿院子中燃放地面烟花的过程。画面中烟花喷出火花并伴随浓烟升空，适合作为夜间休闲活动或旅行Vlog的氛围渲染与过场画面。,夜晚、烟花、火花、民宿、夜生活、过场,"[{""in"": ""00:03"", ""out"": ""00:12"", ""role"": ""过场画面"", ""subject_type"": ""activity"", ""shot_scale"": ""wide"", ""rating"": 3, ""reason"": ""展示烟花从开始喷射到火花升空的过程，画面具有一定的动态和色彩，适合作为夜间活动的过渡镜头。"", ""audio_strategy"": ""保留烟花燃放声"", ""tags"": [""烟花"", ""夜景"", ""火花"", ""动态""]}]",
asset_399e110ef06d,Robert-iPhone/IMG_4328.MOV,3,3,,,,男子在床边准备吃早餐并对着镜头说话,画面展示了一名身穿白T恤的男子坐在床边，身旁的小桌上放着早餐，他正对着镜头说话或互动。该素材适合作为旅拍Vlog中记录清晨日常、民宿生活或吃早餐的过渡片段。,男子、床边、早餐、日常记录、民宿、Vlog、说话,"[{""in"": ""00:00"", ""out"": ""00:12"", ""role"": ""日常生活记录"", ""subject_type"": ""people"", ""shot_scale"": ""medium"", ""rating"": 3, ""reason"": ""整段视频画面稳定，男子神态自然，正在进行日常对话或互动，适合作为Vlog中展现旅途清晨或民宿生活的片段。"", ""audio_strategy"": ""保留同期声"", ""tags"": [""日常"", ""早餐"", ""说话"", ""民宿"", ""Vlog""]}]",
asset_19c90ef73031,jixin-Nano/dji_mimo_20260612_161722_20260612161723_1781257158009_video.MP4,3,3,,,,游客在峡谷河道中体验漂流,画面以第一视角记录了多名游客在峡谷河道中乘坐橡皮艇漂流的场景。镜头前有明显水滴遮挡，整体水流较缓，适合作为户外漂流活动的过场或花絮素材。,漂流、峡谷、橡皮艇、户外运动、水上娱乐、第一视角,"[{""in"": ""00:02"", ""out"": ""00:07"", ""role"": ""过场"", ""subject_type"": ""activity"", ""shot_scale"": ""wide"", ""rating"": 3, ""reason"": ""该片段中前景橡皮艇有所移动并靠近镜头，画面层次感相对较好，适合作为漂流过程的过渡画面。"", ""audio_strategy"": ""保留环境水流声"", ""tags"": [""漂流体验"", ""峡谷风光"", ""第一视角""]}]",
asset_de4c87c97932,Action6/DJI_20260613144503_0109_D.MP4,3,3,,,,游客在五彩灯光溶洞中游览,视频展示了在五彩斑斓的灯光照射下的溶洞景观，镜头从绿光照亮的岩石和联合国教科文组织标识扫过，最后转向一名男游客的近景。画面色彩丰富但光线较暗，适合作为旅游Vlog的景区打卡过渡镜头。,溶洞、彩色灯光、游客、景区打卡、地质奇观、探险,"[{""in"": ""00:00"", ""out"": ""00:03"", ""role"": ""过场"", ""subject_type"": ""landscape"", ""shot_scale"": ""medium"", ""rating"": 3, ""reason"": ""展示溶洞内的彩色灯光与标志性牌匾，画面相对稳定，适合交代景区背景。"", ""audio_strategy"": ""保留环境音"", ""tags"": [""溶洞"", ""五彩灯光"", ""地质景观""]}]",
asset_9aecc49cacb4,Robert-iPhone/IMG_4343.MOV,3,3,,,,山坡别墅群远景空镜头,画面展现了依山而建的别墅住宅群，周围绿树环绕，前景有木质廊架。镜头基本静止，适合作为度假村或旅拍视频的背景环境交代。,别墅、度假村、山景、建筑、空镜头、绿植,"[{""in"": ""00:00"", ""out"": ""00:01"", ""role"": ""环境交代"", ""subject_type"": ""building"", ""shot_scale"": ""wide"", ""rating"": 3, ""reason"": ""画面构图稳定，清晰展现了度假别墅的外观与周边自然环境，适合作为快速切镜的过渡素材。"", ""audio_strategy"": ""静音"", ""tags"": [""别墅"", ""度假村"", ""空镜头""]}]",
asset_73db1344d9d0,Robert-iPhone/IMG_4281.MOV,3,2,,,,雨天身穿雨衣在户外行走的游客背影,画面记录了雨天里游客身穿黄色和蓝色一次性雨衣在户外行走的背影。镜头随行跟拍，呈现出雨中旅途的真实花絮，适合作为交代天气或旅途细节的备用花絮镜头。,雨衣、雨天出行、游客背影、户外随拍、旅途花絮,"[{""in"": ""00:01"", ""out"": ""00:06"", ""role"": ""花絮过场"", ""subject_type"": ""people"", ""shot_scale"": ""close_up"", ""rating"": 2, ""reason"": ""该片段展示了游客在雨中行走的动态，雨衣色彩对比明显，可作为表现雨天旅程的真实细节切片。"", ""audio_strategy"": ""保留现场环境音"", ""tags"": [""雨天"", ""雨衣"", ""行进跟拍""]}]",
asset_50fc29c93238,Robert-iPhone/IMG_4291.MOV,3,3,,,,男子在户外烧烤聚会上手持麦克风讲话,画面记录了一名身穿红色运动服的男子在夜间户外烧烤聚会上，手持麦克风说话或唱歌的场景。镜头随后扫过周围的聚会环境，展示了热闹的社交氛围，适合作为聚会、夜生活或团建活动的Vlog素材。,户外聚会、烧烤派对、唱歌演讲、夜生活、人物纪实、Vlog素材,"[{""in"": ""00:00"", ""out"": ""00:02"", ""role"": ""人物特写"", ""subject_type"": ""people"", ""shot_scale"": ""medium"", ""rating"": 3, ""reason"": ""该片段中男子正面面对镜头，手持麦克风说话，画面主体明确，背景聚会氛围自然。"", ""audio_strategy"": ""保留现场人声"", ""tags"": [""男子讲话"", ""红色球衣"", ""聚会氛围""]}]",
asset_f47b58e38c53,Action6/DJI_20260613102503_0054_D.MP4,3,3,,,,晴天下的绿色峡谷与溪流远景,画面展示了晴空下一处郁郁葱葱的峡谷悬崖，底部有溪流经过。镜头为静态宽景，适合作为展现自然风光的空镜头或环境交代。,峡谷、悬崖、溪流、自然风光、空镜头、绿植,"[{""in"": ""00:00"", ""out"": ""00:03"", ""role"": ""环境交代"", ""subject_type"": ""landscape"", ""shot_scale"": ""wide"", ""rating"": 3, ""reason"": ""前段画面构图稳定，无遮挡物干扰，适合作为展现峡谷风貌的过场或开场空镜头。"", ""audio_strategy"": ""建议配以溪流声或风声等大自然环境音"", ""tags"": [""峡谷"", ""溪流"", ""自然风光"", ""空镜头""]}]",
asset_36065cea16d5,Action6/DJI_20260613143925_0104_D.MP4,3,3,,,,游客在五彩灯光照亮的溶洞栈道中前行,视频展示了五彩灯光照亮的溶洞内部景观，镜头沿陡峭的铁栈道向下俯拍，展现了奇特的钟乳石结构与游客身影。画面光比教大，伴随轻微晃动，适合作为景区游览的转场或环境交代B-roll。,溶洞、钟乳石、彩色灯光、栈道、景区游览、探险、地下景观,"[{""in"": ""00:01"", ""out"": ""00:05"", ""role"": ""环境交代"", ""subject_type"": ""landscape"", ""shot_scale"": ""wide"", ""rating"": 3, ""reason"": ""该段画面较为稳定，集中展现了五彩斑斓的溶洞深处及向下延伸的栈道，空间感较强。"", ""audio_strategy"": ""保留环境声"", ""tags"": [""溶洞"", ""彩色灯光"", ""栈道"", ""俯拍""]}]",
asset_588339a6dd99,Robert-iPhone/IMG_4289.MOV,4,4,,,,户外切蛋糕庆祝仪式,画面展示了一群人在户外围绕着大蛋糕进行庆祝，中间身穿红色球衣的男子挥手致意并准备切蛋糕，周围人鼓掌欢呼。该素材画面稳定，人物表情生动，适合作为团队建设或活动庆祝场景的纪实片段。,切蛋糕、庆祝仪式、团队建设、户外活动、欢呼鼓掌、人物纪实,"[{""in"": ""00:03"", ""out"": ""00:16"", ""role"": ""活动高潮"", ""subject_type"": ""activity"", ""shot_scale"": ""medium"", ""rating"": 4, ""reason"": ""红衣男子挥手致意，周围众人鼓掌欢呼，现场庆祝氛围达到顶点，画面稳定，人物表情生动。"", ""audio_strategy"": ""保留现场鼓掌和欢呼的原声"", ""tags"": [""欢呼鼓掌"", ""切蛋糕"", ""团队庆祝"", ""现场氛围""]}]",
asset_6ad9a06742ae,Robert-iPhone/IMG_4307.MOV,4,4,,,,团队在山间小路徒步前行,画面展现了一群人在山峦背景下的乡间土路上迎面走来，大家神态轻松，有人微笑，适合作为户外出行或团队建设纪录片的过场与花絮镜头。,徒步、团队建设、户外出行、山野、行走、欢笑、纪实,"[{""in"": ""00:00"", ""out"": ""00:05"", ""role"": ""过场镜头"", ""subject_type"": ""people_landscape"", ""shot_scale"": ""full"", ""rating"": 4, ""reason"": ""画面中人物走动自然，神情轻松愉悦，背景山峦清晰，适合展现团队出行氛围。"", ""audio_strategy"": ""保留自然环境音"", ""tags"": [""团队行走"", ""户外纪实"", ""轻松氛围""]}]",
asset_f9b03c8bf769,jixin-Nano/dji_mimo_20260613_102348_20260613102348_1781320061900_video.MP4,4,4,,,,第一人称视角全地形车穿越山谷,第一人称视角记录驾驶全地形越野车在山谷碎石路段穿行的过程，前方有队友车辆同行，两边山峦起伏、绿树成荫。适合作为户外探险或旅拍Vlog的活动体验B-roll，展现越野驰骋的动感与自然风光。,全地形车、越野体验、第一人称视角、山谷、户外探险、驰骋、自然风光,"[{""in"": ""00:02"", ""out"": ""00:16"", ""role"": ""活动体验展示"", ""subject_type"": ""activity"", ""shot_scale"": ""wide"", ""rating"": 4, ""reason"": ""该段画面构图稳定，前方队友车辆位置适中，两旁山谷与植被景观丰富，第一人称视角的越野代入感极强。"", ""audio_strategy"": ""保留原车引擎声与越野胎噪"", ""tags"": [""第一人称视角"", ""越野驰骋"", ""山谷穿行"", ""户外运动""]}]",
asset_1c5fed861a8e,Action6/DJI_20260613145058_0115_D.MP4,4,3,,,,五彩灯光照射下的溶洞钟乳石奇观,视频展示了在粉色、紫色和绿色等五彩灯光照射下的溶洞内部景观。镜头采用仰摄并伴随缓慢旋转，展现了密集的钟乳石结构，适合作为旅游Vlog的转场或背景介绍素材。,溶洞、钟乳石、彩色灯光、奇特地貌、仰摄镜头、大自然奇观,"[{""in"": ""00:02"", ""out"": ""00:14"", ""role"": ""过场"", ""subject_type"": ""landscape"", ""shot_scale"": ""wide"", ""rating"": 3, ""reason"": ""该片段镜头运动相对平稳，完整展现了溶洞顶部五彩斑斓的钟乳石，色彩饱和度高，适合作为空镜头或转场使用。"", ""audio_strategy"": ""静音或保留微弱环境音，后期添加空灵背景音乐"", ""tags"": [""溶洞"", ""钟乳石"", ""空镜头"", ""转场素材""]}]",
asset_377fc3f9400a,Robert-iPhone/IMG_4347.MOV,4,3,,,,黄昏时分车辆在城市道路行驶,画面展现了黄昏落日余晖下，车辆在城市高架路上行驶的场景。背景中独特的建筑剪影与晚霞交相辉映，具有较好的城市生活氛围，但画面存在较明显的车窗折射光斑。,黄昏、晚霞、城市道路、行车记录、建筑剪影、街景,"[{""in"": ""00:01"", ""out"": ""00:08"", ""role"": ""过场剪辑"", ""subject_type"": ""landscape"", ""shot_scale"": ""wide"", ""rating"": 3, ""reason"": ""该时段内车辆行驶平稳，晚霞色彩浓郁，建筑剪影清晰，适合作为城市一天的转场或黄昏过渡镜头。"", ""audio_strategy"": ""保留微弱的行车环境音"", ""tags"": [""晚霞"", ""城市高架"", ""行车视角"", ""建筑剪影""]}]",
